city,mean_price,pos
Algona,207288,"(43.0700, -94.2330)"
Ames Lake,340000,"(47.6329, -121.9662)"
Auburn,300529.6851,"(32.6099, -85.4808)"
Beaux Arts Village,745000,"(47.5853, -122.2013)"
Bellevue,883249.3387,"(47.6101, -122.2015)"
Black Diamond,384877.7778,"(47.3114, -122.0053)"
Bothell,488994.2857,"(47.7610, -122.2056)"
Bryn Mawr-Skyway,212000,"(47.4924, -122.2391)"
Burien,359591.3797,"(47.4668, -122.3405)"
Carnation,532615.5909,"(47.6479, -121.9140)"
Cedar Falls,271900,"(42.5349, -92.4453)"
Cedar Grove,599000,"(40.8518, -74.2290)"
Clyde Hill,1705700,"(47.6318, -122.2179)"
Cottage Lake,520375.3333,"(47.7443, -122.0773)"
Covington,267276.5102,"(47.359558, -122.118011)"
Des Moines,304210.3607,"(41.6005, -93.6091)"
Duvall,411103.1522,"(47.7423, -121.9857)"
East Hill-Meridian,309975,"(47.4130, -122.1715)"
East Renton Highlands,502166.6667,"(47.4848, -122.1123)"
Enumclaw,332998.0323,"(47.2043, -121.9915)"
Fairwood,312100,"(47.4431, -122.1624)"
Fall City,659208.3333,"(47.5673, -121.8887)"
Federal Way,292656.9371,"(47.3223, -122.3126)"
Georgetown,650000,"(38.690113, -75.385475)"
Highland Park,165000,"(42.1817, -87.8003)"
Hobart,427250,"(41.52914, -87.250328)"
Inglewood-Finn Hill,425000,"(47.7141, -122.2403)"
Issaquah,610800.29,"(47.5301, -122.0326)"
Kenmore,456593.0556,"(42.96589, -78.87004)"
Kent,305876.603,"(39.271381,  -76.131996)"
Kirkland,654749.0423,"(47.6769, -122.2060)"
Klahanie,741900,"(47.5707, -122.0073)"
Krain,315000,"(47.2429, -121.9893)"
Lake Forest Park,485107.8947,"(47.7539, -122.2776)"
Lake Morton-Berrydale,226000,"(47.3265, -122.0999)"
Lakeland North,307390,"(47.3292, -122.2820)"
Lakeland South,304862.5,"(47.2734, -122.2865)"
Lea Hill,192950,"(47.3262, -122.1815)"
Maple Heights-Lake Desire,379900,"(47.4522, -122.0985)"
Maple Valley,341171.52,"(47.3733, -122.0369)"
Medina,2200377.273,"(41.1432, -81.8552)"
Mercer Island,1258908.667,"(47.5707, -122.2221)"
Milton,285000,"(42.2495, -71.0662)"
Mirrormont,422475,"(47.4623, -121.9957)"
Mount View,282500,"(37.3861, -122.0839)"
Newcastle,673633.75,"(41.0036719, -80.34700900000001)"
Normandy Park,520026.25,"(47.4362, -122.3407)"
North Bend,406921.7647,"(47.4957, -121.7868)"
Novelty,700561,"(41.837, -80.9555)"
Oskams Corner,452450,"(47.73204422, 47.73204422)"
Pacific,227418.75,"(32.802353,  -117.241676)"
Preston,523300,"(42.050284, -90.396028)"
Ravensdale,491687.5,"(47.3523, -121.9837)"
Redmond,667056.1406,"(47.6740, -122.1215)"
Renton,384330.6452,"(47.4829, -122.2171)"
Sahalee,690000,"(47.634822, -122.055399)"
Sammamish,730566.8586,"(47.6163, -122.0356)"
SeaTac,250771.871,"(47.4436, -122.2961)"
Seattle,584386.0071,"(47.6062, -122.3321)"
Shoreline,425093.5802,"(47.7560, -122.3457)"
Skykomish,233000,"(47.7093, -121.3601)"
Snoqualmie,552076.7027,"(47.5287, -121.8254)"
Snoqualmie Falls,279000,"(47.541721,  -121.837702)"
Snoqualmie Pass,525000,"(47.3923, -121.4001)"
Stuart,500000,"(36.640968, -80.265610)"
Tanner,427100,"(34.7315, -86.9706)"
Tukwila,246553.7333,"(47.4740, -122.2610)"
Union Hill-Novelty Hill,674975,"(47.6798, -122.0169)"
Vashon,466843.6471,"(47.4473, -122.4599)"
Wabash,399950,"(40.7978, -85.8205)"
White Center,169243.75,"(47.5086, -122.3551)"
Woodinville,620834.7436,"(47.7543, -122.1635)"
Yarrow Point,1384625,"(47.6462, -122.2173)"
